model,log_loss,brier,top1_acc,top2_acc,ece,log_loss_ci_low,log_loss_ci_high,ece_ci_low,ece_ci_high
blend_linear_F_temp_GRM_raw_beta_0.70,2.2494387201128627,0.8734203459031102,0.20516304347826086,0.3730978260869565,0.008487171783951808,2.2255608142690106,2.2787208983861738,0.00426517678731724,0.027386345486961963
blend_linear_F_temp_GRM_raw_beta_0.90,2.250994896660088,0.8739451462462116,0.20298913043478262,0.3720108695652174,0.009529443945797406,2.227138093311031,2.2794341117114527,0.004597735541939741,0.025563826162000414
blend_linear_F_temp_GRM_isotonic_beta_0.70,2.251712314779214,0.8740351039358987,0.19755434782608697,0.3717391304347826,0.01388778439558108,2.226930023285754,2.28145471372993,0.007649973258520899,0.028058503646151995
blend_linear_F_temp_GRM_isotonic_beta_0.90,2.2520700985707474,0.8742319702921866,0.20054347826086957,0.3706521739130435,0.007953053814940502,2.2279552708561803,2.2809237303222827,0.004977441075103899,0.02406154317229683
blend_linear_F_temp_GRM_raw_beta_0.50,2.253056065105788,0.8739599624096692,0.20706521739130435,0.38016304347826085,0.012912267872152848,2.2274562654327172,2.283413592103916,0.0037393211072273536,0.027638076401006562
F_temp,2.2537988134644227,0.8746067027363845,0.19945652173913042,0.36929347826086956,0.009524569520075724,2.2299775021785018,2.282245282984793,0.005145069739865952,0.023595711857712812
F_raw,2.254927207079351,0.874814649341227,0.19945652173913042,0.36929347826086956,0.01888698742804056,2.229249249131674,2.2856484736974125,0.011503991641682266,0.03312367640853222
blend_linear_F_temp_GRM_isotonic_beta_0.50,2.255486868230173,0.8745750356224211,0.19701086956521738,0.375,0.01172938651068315,2.2300259938879456,2.286264540222403,0.004564466071640169,0.02629586351100166
blend_linear_F_isotonic_GRM_raw_beta_0.50,2.2581518526532363,0.8748803106788972,0.2048913043478261,0.37771739130434784,0.01815103617380369,2.231080331668125,2.290443733094941,0.008148461590343518,0.033903119787752914
blend_linear_F_isotonic_GRM_raw_beta_0.70,2.2597696917748022,0.8751757031782619,0.1967391304347826,0.37581521739130436,0.02299326366339839,2.2308597762964935,2.293427453338515,0.012117645599525481,0.03847394702511853
F_vector,2.2605829405209423,0.8757752873139699,0.19755434782608697,0.36684782608695654,0.01262085374806735,2.2361922731256545,2.2893086185782194,0.006976229031183095,0.025780572718402332
blend_linear_F_isotonic_GRM_raw_beta_0.90,2.271498827973635,0.8768022952119909,0.19456521739130433,0.37228260869565216,0.025466327003012646,2.2424675492936443,2.307748183068335,0.015004950417790708,0.0406601132851382
blend_linear_F_isotonic_GRM_isotonic_beta_0.50,2.272855731379466,0.8756698362754546,0.19728260869565217,0.3690217391304348,0.018627610094984825,2.242030014729379,2.3128279097197737,0.01236787342813653,0.03329100860895384
blend_linear_F_isotonic_GRM_isotonic_beta_0.70,2.273856194420674,0.8759370012134469,0.1983695652173913,0.36820652173913043,0.01896628680126921,2.2418126824355142,2.314860972501741,0.010990630089700915,0.03487189456680866
blend_linear_F_isotonic_GRM_isotonic_beta_0.90,2.282331246907424,0.8771519221161361,0.19483695652173913,0.3706521739130435,0.024356570295888808,2.2492912082721563,2.3244344937814927,0.015596800135710513,0.03934899971025758
GRM_temp,2.299158520012242,0.8789138889756187,0.20407608695652174,0.37527173913043477,0.008039328254752134,2.2717351655775464,2.3368646119770244,0.002630639541815446,0.02212288204294385
GRM_raw,2.3059808669490125,0.879965827393327,0.20407608695652174,0.37527173913043477,0.03975465767403804,2.2725623584071526,2.3515847018483873,0.024786026280644934,0.05482484696732235
GRM_isotonic,2.3187997391107826,0.8791483562760233,0.19429347826086957,0.36766304347826084,0.02011027132175194,2.2817367064381058,2.363590481763716,0.005502572551338395,0.033415119151937914
F_isotonic,2.3213820174203588,0.8781147910542421,0.19483695652173913,0.3684782608695652,0.02706380831084819,2.277901264700761,2.370978409788132,0.018879936655451138,0.044369783702983986
