candidate,param_kind,log_loss,brier,top1_acc,top2_acc,ece,log_loss_ci_low,log_loss_ci_high,ece_ci_low,ece_ci_high,param_beta,param_threshold,param_scale,param_shift
density_scale_2.0_shift_+0.00,density,2.2486644122905632,0.873377701029282,0.20516304347826086,0.3763586956521739,0.014549439926290826,2.2235621088438426,2.279715356677722,0.007474788178589926,0.033206920564074066,,,2.0,0.0
density_scale_5.0_shift_+0.25,density,2.2487641921503707,0.8734994563408953,0.20326086956521738,0.3766304347826087,0.013571973808580806,2.2228284661562836,2.2803167151889436,0.00692961009316093,0.029475349638640614,,,5.0,0.25
density_scale_2.0_shift_+0.25,density,2.2493802457327656,0.8734284693707364,0.2076086956521739,0.3766304347826087,0.012419516504531977,2.224529520143584,2.281203332015056,0.00672222462668244,0.029775386524565267,,,2.0,0.25
reference_B_markov_laplace,reference_B_markov_laplace,2.2524345694806622,0.8743438936045537,0.19619565217391305,0.37418478260869564,0.0077229902760694025,2.227614499106577,2.2819269360455823,0.0037229155593197574,0.021700764920983658,,,,
