candidate,param_kind,log_loss,brier,top1_acc,top2_acc,ece,log_loss_ci_low,log_loss_ci_high,ece_ci_low,ece_ci_high,param_beta,param_threshold,param_scale,param_shift
density_scale_2.0_shift_+0.00,density,2.2486644122905632,0.873377701029282,0.20516304347826086,0.3763586956521739,0.014549439926290826,2.2235621088438426,2.279715356677722,0.007474788178589926,0.033206920564074066,,,2.0,0.0
density_scale_5.0_shift_+0.25,density,2.2487641921503707,0.8734994563408953,0.20326086956521738,0.3766304347826087,0.013571973808580806,2.2228284661562836,2.2803167151889436,0.00692961009316093,0.029475349638640614,,,5.0,0.25
density_scale_1.0_shift_-0.50,density,2.2489799057967352,0.8734166778102883,0.2046195652173913,0.3739130434782609,0.015830997432853933,2.2241324191855645,2.2797789981930503,0.00880730171148239,0.03049190601288652,,,1.0,-0.5
density_scale_1.0_shift_-0.25,density,2.2490964184193682,0.8733894241699698,0.20652173913043478,0.3760869565217391,0.014439499567836862,2.224347298460114,2.280330493876421,0.008402172792180775,0.03215325636575647,,,1.0,-0.25
density_scale_2.0_shift_-0.25,density,2.249274516956641,0.8735731969231276,0.20380434782608695,0.37228260869565216,0.013850336297310119,2.223985369375652,2.2795695302579992,0.007621847097412538,0.030749365466825284,,,2.0,-0.25
density_scale_2.0_shift_+0.25,density,2.2493802457327656,0.8734284693707364,0.2076086956521739,0.3766304347826087,0.012419516504531977,2.224529520143584,2.281203332015056,0.00672222462668244,0.029775386524565267,,,2.0,0.25
linear_beta_0.70,linear,2.249549900221718,0.8734730238238649,0.2046195652173913,0.37255434782608693,0.016879099747018567,2.2247789133118228,2.280398178602017,0.008651784560722974,0.03281047618780462,0.7000000000000001,,,
density_scale_1.0_shift_+0.00,density,2.249648723425764,0.8734454035516622,0.20815217391304347,0.3769021739130435,0.013241855951233556,2.224880020304065,2.2813576954571384,0.007585084809278152,0.029761698941256243,,,1.0,0.0
linear_beta_0.80,linear,2.249881333680286,0.8736452819550816,0.20434782608695654,0.37282608695652175,0.014832867650744201,2.2250277146742468,2.2801149482226792,0.008398429921001448,0.03164934898486379,0.8,,,
density_scale_10.0_shift_+0.25,density,2.250080726389937,0.8738801615355264,0.20298913043478262,0.37472826086956523,0.015549132426185948,2.2231611497973476,2.281406903181751,0.009487969126326204,0.03126129944401121,,,10.0,0.25
density_scale_2.0_shift_-0.50,density,2.250473622236962,0.8738638475534719,0.20353260869565218,0.37255434782608693,0.019086652590875407,2.2250452632247373,2.280393644966992,0.012410356202399785,0.03414252599365418,,,2.0,-0.5
linear_beta_0.60,linear,2.2505889847745157,0.873575716067219,0.20733695652173914,0.3779891304347826,0.016653928809226545,2.2255832510242084,2.282287565014734,0.00940537167744195,0.03210311378592699,0.6000000000000001,,,
density_scale_5.0_shift_+0.00,density,2.250689443068155,0.8739454616713459,0.20244565217391305,0.37228260869565216,0.016836823933818856,2.22471173130845,2.2805568690126425,0.011456697338403576,0.03148890127499233,,,5.0,0.0
density_scale_1.0_shift_+0.25,density,2.250717317384354,0.8736020761230968,0.20625,0.37907608695652173,0.01799239120368831,2.225199338275843,2.2823527356164024,0.008884927526760233,0.03455377062075798,,,1.0,0.25
