mode,feature,correlation,abs_correlation
grm_mode_1,resting_hr,-0.8837231127549369,0.8837231127549369
grm_mode_1,appetite,0.8798696151910324,0.8798696151910324
grm_mode_1,mood_calm,0.8656880429047189,0.8656880429047189
grm_mode_1,sleep_quality,0.8627968649520845,0.8627968649520845
grm_mode_1,pain,-0.8548478862403961,0.8548478862403961
grm_mode_1,bowel_quality,0.8533228019240711,0.8533228019240711
grm_mode_1,heaviness,-0.8466976401721094,0.8466976401721094
grm_mode_1,energy,0.8385745714587527,0.8385745714587527
grm_mode_1,body_temp,-0.8165767749763472,0.8165767749763472
grm_mode_1,fatigue,-0.8144846328648494,0.8144846328648494
grm_mode_1,cold_hot,-0.7897182725194634,0.7897182725194634
grm_mode_1,hrv,0.77149231433103,0.77149231433103
grm_mode_2,hrv,-0.4817992695606599,0.4817992695606599
grm_mode_2,cold_hot,0.4239547479130766,0.4239547479130766
grm_mode_2,body_temp,0.3061441272608557,0.3061441272608557
grm_mode_2,resting_hr,0.2303113295113955,0.2303113295113955
grm_mode_2,fatigue,0.1940984070703015,0.1940984070703015
grm_mode_2,heaviness,0.1893049407592207,0.1893049407592207
grm_mode_2,sleep_quality,-0.1868595948529756,0.1868595948529756
grm_mode_2,mood_calm,-0.1796950254434387,0.1796950254434387
grm_mode_2,energy,-0.1602403605892625,0.1602403605892625
grm_mode_2,appetite,-0.1540223398995458,0.1540223398995458
grm_mode_2,pain,0.1156602498904953,0.1156602498904953
grm_mode_2,bowel_quality,-0.1095526126732285,0.1095526126732285
grm_mode_3,fatigue,-0.3162699722475667,0.3162699722475667
grm_mode_3,energy,0.2995694907609333,0.2995694907609333
grm_mode_3,pain,-0.2806474186443638,0.2806474186443638
grm_mode_3,heaviness,-0.2741346933740898,0.2741346933740898
grm_mode_3,bowel_quality,0.2608852644010693,0.2608852644010693
grm_mode_3,sleep_quality,0.2568232345006241,0.2568232345006241
grm_mode_3,mood_calm,0.24908622406738,0.24908622406738
grm_mode_3,appetite,0.204889046038207,0.204889046038207
grm_mode_3,body_temp,0.1872608116807206,0.1872608116807206
grm_mode_3,hrv,0.1395738851635534,0.1395738851635534
