group_column,group_value,n_rows,next_day_n,next_day_mae,next_day_rmse,next_day_bias,next_day_mean_error,next_day_median_abs_error,next_day_error_std,flare_n,flare_positive_rate,flare_accuracy,flare_roc_auc
qi_like_label,balanced_flow,3125,739,0.11405775641209515,0.14366170425502775,0.03483057586384305,0.03483057586384305,0.09587376480600082,0.1393754506878888,739,0.22056833558863329,0.6630581867388363,0.5438501192910702
qi_like_label,depleted,491,144,0.1936689031983325,0.23182243525850413,-0.0922597014462864,-0.0922597014462864,0.16138509654993954,0.2126729624992924,144,0.3680555555555556,0.4166666666666667,0.48787061994609165
qi_like_label,heavy_damp_like,278,72,0.17890331176765728,0.2129421275221859,-0.07509362477909015,-0.07509362477909015,0.154460190322526,0.19926188092862138,72,0.2777777777777778,0.3888888888888889,0.5759615384615384
qi_like_label,hot_overactive,304,77,0.1429716137589381,0.1807935407736951,-0.012119946475042883,-0.012119946475042883,0.10894409230456908,0.18038683788716914,77,0.22077922077922077,0.35064935064935066,0.5872549019607843
qi_like_label,stuck_agitated,602,148,0.1551541630633202,0.192754298175613,-0.04112619816710737,-0.04112619816710737,0.13167587393537972,0.1883158391890946,148,0.2702702702702703,0.35135135135135137,0.5810185185185185
tcm_like_label,damp_heat_like,373,80,0.1445824366374029,0.18059360929478482,-0.003828469411065981,-0.003828469411065981,0.11003812680660989,0.1805530241787324,80,0.2125,0.425,0.5658263305322129
tcm_like_label,liver_qi_stagnation_like,582,141,0.16142124218335402,0.1989650639639227,-0.05279166274759331,-0.05279166274759331,0.1352619281405453,0.19183361807178698,141,0.2695035460992908,0.3404255319148936,0.6042411854879919
tcm_like_label,mixed_pattern_like,3367,821,0.11988639959920808,0.15118375215226995,0.024615550103142425,0.024615550103142425,0.09781926636641541,0.14916635548259088,821,0.22777101096224117,0.6321559074299634,0.5561581673105147
tcm_like_label,spleen_qi_deficiency_like,390,114,0.1937735337771921,0.23208069342350252,-0.09393821297365518,-0.09393821297365518,0.16883348152738786,0.2122193685864935,114,0.38596491228070173,0.40350877192982454,0.41590909090909095
tcm_like_label,yin_deficiency_like,88,24,0.17440691203267814,0.2212586548042854,-0.07178183298655079,-0.07178183298655079,0.13185525907285878,0.20929109101653814,24,0.2916666666666667,0.4166666666666667,0.6638655462184874
contrarian_signature,canonical_single_cluster,3789,923,0.12413677471891779,0.15686392461827994,0.01667430728694747,0.01667430728694747,0.1010400715706779,0.1559751849594988,923,0.2296858071505959,0.5969664138678223,0.5606904970411061
contrarian_signature,label_noise_injected,264,60,0.13660339875248304,0.17006198746143747,-0.003891585754661505,-0.003891585754661505,0.11657658241049564,0.1700174553969334,60,0.26666666666666666,0.55,0.6392045454545454
contrarian_signature,merged_stress_inflammation_bridge,416,93,0.16635839353524656,0.20483558527904377,-0.04781591735606823,-0.04781591735606823,0.13954543368957859,0.19917644199052778,93,0.26881720430107525,0.3548387096774194,0.6129411764705882
contrarian_signature,spleen_like_subtype_digestive,227,76,0.2116356924460849,0.2500108780671215,-0.11679135700914865,-0.11679135700914865,0.2241913972946681,0.2210547852453204,76,0.39473684210526316,0.39473684210526316,0.3652173913043478
contrarian_signature,spleen_like_subtype_ruminative,104,28,0.16784223834959539,0.20458188206678393,-0.06450438107332493,-0.06450438107332493,0.11809574133757754,0.19414667468781113,28,0.35714285714285715,0.35714285714285715,0.4166666666666667
