k,target,adjusted_rand_index,normalized_mutual_info
3,hidden_subtype,-0.00015643143325630348,0.0031741776026103395
3,qi_like_label,0.04477320219296959,0.15787599355300563
3,tcm_like_label,0.042748826362400995,0.1563365312433992
3,contrarian_signature,0.07080097759536373,0.14578213243126836
4,hidden_subtype,-0.001206250017952572,0.00457417026098884
4,qi_like_label,0.09311177259533641,0.3098793908640056
4,tcm_like_label,0.09282918952400283,0.3113835042734942
4,contrarian_signature,0.111210193936245,0.3050292912313669
5,hidden_subtype,-0.0022357007453058667,0.004968291156435417
5,qi_like_label,0.07843859054626391,0.2937650867832147
5,tcm_like_label,0.07821044229486365,0.2953178319840318
5,contrarian_signature,0.09737883658993884,0.28784994993686974
